YEAR_MONTH,FISCAL_YEAR,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
202003,2020,brand_j,,on_trade,15892.785,127932.67,28037.86
202009,2021,brand_e,,off_trade,128333.907,1322856.71,302782.94
202212,2023,brand_j,,on_trade,48623.373,474718.48,70145.29
201810,2019,brand_d,,on_trade,26575.56,100430.77,52890.15
202011,2021,brand_c,,off_trade,1053442.332,3135608.21,2017400.51
202012,2021,brand_c,,off_trade,582467.913,1642392.45,1121510.18
202004,2020,brand_k,,off_trade,4993.803,143784.44,35345.79
202202,2022,brand_m,,on_trade,1465.794,33538.73,6004.42
202108,2022,brand_j,,on_trade,33310.17,390853.44,59462.69
201810,2019,brand_b,,off_trade,92775.177,347266.75,162376.96
202211,2023,brand_d,,on_trade,17595,57909.94,32772.14
201901,2019,brand_k,,off_trade,2669.382,67399.8,19448.14
202008,2021,brand_l,,on_trade,2709.027,29280.4,8053.81
202009,2021,brand_l,,on_trade,3242.421,30341.01,9639.57
202208,2023,brand_c,,on_trade,1858.5,10793.57,4056.41
202007,2021,brand_i,,off_trade,42423.012,445947.92,194726.71
202111,2022,brand_j,,off_trade,59933.916,396886.63,106989.31
202204,2022,brand_j,,off_trade,39043.134,283494.62,69696.77
201908,2020,brand_j,,off_trade,21432.609,111491.91,37921.74
201907,2020,brand_g,,on_trade,30287.412,210711.18,53110.06
202001,2020,brand_g,,on_trade,23797.782,143688.02,41755.06
202006,2020,brand_g,,on_trade,2691.099,-162587.8,5790.78
202212,2023,brand_b,,on_trade,103872.528,268647.92,156134.32
202009,2021,brand_g,,on_trade,23914.188,136499.46,44738.47
202203,2022,brand_e,,off_trade,45030.546,570642.08,104672.22
202012,2021,brand_f,,on_trade,10776.663,-50579.37,22791.35
202006,2020,brand_h,,off_trade,306169.218,1310970.34,391026.94
202103,2021,brand_j,,off_trade,39358.206,238064.82,78138.47
201905,2019,brand_d,,off_trade,667982.574,2115393.27,1460580.01
202008,2021,brand_f,,on_trade,35104.599,231306.39,65243.28
201902,2019,brand_a,,off_trade,197696.907,633654.03,425650.68
201902,2019,brand_h,,off_trade,80583.516,304752.93,103818.25
202106,2021,brand_j,,off_trade,38119.077,208927.5,75677.67
201907,2020,brand_m,,off_trade,32546.43,433619.28,91091.35
202202,2022,brand_h,,off_trade,164287.719,1031073.55,213145.82
202211,2023,brand_c,,on_trade,3069,11984.97,6698.46
202011,2021,brand_d,,off_trade,2050877.052,6579768.19,4537472.3
202106,2021,brand_d,,off_trade,1233647.37,3756263.33,2829239.03
202011,2021,brand_a,,off_trade,628358.067,2695620.44,993154.92
202101,2021,brand_a,,off_trade,267759.27,1124249.68,440355.01
201909,2020,brand_g,,off_trade,226345.527,1762926.26,399327.77
202006,2020,brand_d,,off_trade,923414.355,2817844.58,1904476.39
202102,2021,brand_a,,off_trade,398722.842,1411742.41,602528.07
201905,2019,brand_f,,on_trade,54561.213,307238.17,104350.55
202201,2022,brand_a,,on_trade,50615.73,-210380.59,79232.6
202004,2020,brand_f,,off_trade,46546.191,276274.13,84484.06
201807,2019,brand_g,,off_trade,153426.816,1183111.08,295186.04
201901,2019,brand_g,,off_trade,96595.065,747083.57,187126.23
201905,2019,brand_g,,off_trade,119872.989,1071997.71,239097.5
202011,2021,brand_i,,on_trade,802.935,9404.12,3646.17
202204,2022,brand_b,,on_trade,84133.764,340810.54,114381.53
202002,2020,brand_c,,off_trade,445508.262,1345435.43,861638.98
